brokerTime,close,high,low,open,spread,tickVolume
1668484800000000000,16687.5,16727.5,16642.5,16666.5,54,1215
1668409740000000000,15936.5,15941.5,15933.5,15939.5,56,35
1668355020000000000,16617.5,16617.5,16615.5,16615.5,54,10
1668478020000000000,16542.5,16542.5,16534.5,16538.5,53,28
1668426900000000000,16716.5,16720.5,16715.5,16720.5,61,21
1668378600000000000,16503.5,16509.5,16501.5,16501.5,57,26
1668430260000000000,16737.5,16737.5,16731.5,16731.5,59,10
1668466800000000000,16287.5,16302.5,16194.5,16252.5,59,1201
1668387360000000000,16385.5,16385.5,16382.5,16382.5,58,29
1668416040000000000,16437.5,16454.5,16437.5,16440.5,65,20
1668464100000000000,16232.5,16235.5,16185.5,16191.5,57,519
1668431340000000000,16755.5,16758.5,16754.5,16755.5,58,14
1668468600000000000,16322.5,16347.5,16292.5,16293.5,61,184
1668462000000000000,16454.5,16460.5,16451.5,16451.5,57,42
1668337980000000000,16469.5,16473.5,16450.5,16450.5,57,85
1668472200000000000,16332.5,16361.5,16323.5,16360.5,56,322
1668416880000000000,16457.5,16457.5,16457.5,16457.5,63,1
1668477420000000000,16565.5,16567.5,16558.5,16558.5,52,8
1668422160000000000,16744.5,16748.5,16744.5,16748.5,54,5
1668427320000000000,16699.5,16699.5,16698.5,16698.5,57,6
1668481200000000000,16582.5,16607.5,16485.5,16509.5,56,1592
1668330060000000000,16569.5,16626.5,16549.5,16626.5,59,71
1668483060000000000,16577.5,16584.5,16577.5,16584.5,55,23
1668492000000000000,16746.5,16799.5,16730.5,16770.5,56,1055
1668330900000000000,16688.5,16688.5,16679.5,16679.5,55,31
1668380220000000000,16433.5,16443.5,16433.5,16435.5,55,31
1668474000000000000,16566.5,16570.5,16355.5,16355.5,54,1145
1668361560000000000,16543.5,16547.5,16541.5,16547.5,58,18
1668339000000000000,16436.5,16436.5,16436.5,16436.5,54,1
1668415920000000000,16423.5,16514.5,16392.5,16392.5,73,219
1668502800000000000,16810.5,16825.5,16685.5,16685.5,58,807
1668428820000000000,16696.5,16710.5,16696.5,16710.5,58,38
1668337680000000000,16464.5,16466.5,16459.5,16459.5,62,90
1668423720000000000,16684.5,16699.5,16684.5,16695.5,53,33
1668484800000000000,16711.5,16713.5,16642.5,16666.5,54,717
1668428880000000000,16703.5,16705.5,16703.5,16705.5,55,7
1668328560000000000,16742.5,16755.5,16742.5,16748.5,58,45
1668352260000000000,16554.5,16562.5,16554.5,16562.5,62,9
1668367620000000000,16480.5,16480.5,16477.5,16478.5,52,10
1668495600000000000,16642.5,16741.5,16632.5,16716.5,57,1832
1668488400000000000,16773.5,16828.5,16709.5,16711.5,53,2264
1668413340000000000,15851.5,15851.5,15851.5,15851.5,56,1
1668421980000000000,16765.5,16766.5,16759.5,16759.5,59,8
1668362400000000000,16534.5,16534.5,16532.5,16532.5,57,5
1668429480000000000,16759.5,16775.5,16733.5,16733.5,58,47
1668472200000000000,16329.5,16361.5,16323.5,16360.5,60,407
1668429180000000000,16718.5,16718.5,16713.5,16713.5,57,21
1668484800000000000,16696.5,16727.5,16642.5,16666.5,60,1230
1668386940000000000,16395.5,16395.5,16390.5,16390.5,55,8
1668428400000000000,16707.5,16707.5,16693.5,16694.5,52,31
1668464100000000000,16209.5,16216.5,16185.5,16191.5,58,268
1668428340000000000,16691.5,16691.5,16683.5,16683.5,58,11
1668382800000000000,16441.5,16455.5,16441.5,16450.5,60,37
1668476160000000000,16650.5,16662.5,16646.5,16662.5,57,45
1668336300000000000,16660.5,16660.5,16656.5,16656.5,57,6
1668326820000000000,16804.5,16804.5,16803.5,16804.5,52,9
1668409680000000000,15924.5,15924.5,15922.5,15922.5,57,6
1668366960000000000,16463.5,16463.5,16447.5,16449.5,62,90
1668330300000000000,16597.5,16597.5,16597.5,16597.5,63,1
1668481200000000000,16573.5,16593.5,16485.5,16509.5,56,1239
1668481440000000000,16514.5,16519.5,16511.5,16514.5,55,23
1668476700000000000,16630.5,16660.5,16630.5,16654.5,54,52
1668502800000000000,16785.5,16874.5,16685.5,16685.5,55,2253
1668360120000000000,16516.5,16523.5,16516.5,16518.5,54,14
1668466800000000000,16248.5,16261.5,16208.5,16215.5,57,296
1668412260000000000,15830.5,15839.5,15825.5,15827.5,59,58
1668362280000000000,16536.5,16536.5,16536.5,16536.5,57,1
1668466800000000000,16248.5,16261.5,16208.5,16215.5,55,365
1668330540000000000,16667.5,16674.5,16650.5,16674.5,52,68
1668428700000000000,16697.5,16698.5,16683.5,16683.5,54,48
1668409500000000000,15923.5,15925.5,15919.5,15925.5,58,22
1668479220000000000,16568.5,16568.5,16568.5,16568.5,58,1
1668412860000000000,15841.5,15841.5,15827.5,15827.5,54,16
1668412860000000000,15834.5,15842.5,15826.5,15827.5,57,40
1668376860000000000,16495.5,16495.5,16485.5,16495.5,60,30
1668481200000000000,16673.5,16728.5,16485.5,16509.5,56,3156
1668464100000000000,16193.5,16209.5,16190.5,16191.5,61,105
1668488400000000000,16821.5,16828.5,16709.5,16711.5,56,2056
1668375240000000000,16493.5,16493.5,16490.5,16491.5,56,13
1668431100000000000,16739.5,16741.5,16732.5,16734.5,54,35
1668334020000000000,16707.5,16715.5,16706.5,16715.5,54,22
1668495600000000000,16704.5,16741.5,16694.5,16716.5,58,1057
1668329460000000000,16685.5,16686.5,16672.5,16674.5,59,44
1668478080000000000,16536.5,16541.5,16534.5,16536.5,59,36
1668432360000000000,16717.5,16728.5,16716.5,16722.5,58,77
1668362460000000000,16526.5,16526.5,16526.5,16526.5,54,5
1668418260000000000,16734.5,16734.5,16718.5,16718.5,65,22
1668333180000000000,16697.5,16697.5,16697.5,16697.5,55,1
1668502800000000000,16689.5,16689.5,16685.5,16685.5,55,7
1668372780000000000,16444.5,16446.5,16444.5,16446.5,56,3
1668419880000000000,16760.5,16784.5,16750.5,16754.5,58,64
1668409980000000000,15933.5,15935.5,15929.5,15929.5,54,12
1668499200000000000,16655.5,16674.5,16609.5,16609.5,57,864
1668488400000000000,16742.5,16742.5,16709.5,16711.5,53,116
1668461400000000000,16483.5,16498.5,16483.5,16495.5,59,39
1668431580000000000,16755.5,16755.5,16755.5,16755.5,58,1
1668376020000000000,16505.5,16507.5,16502.5,16502.5,57,7
1668338340000000000,16466.5,16484.5,16466.5,16482.5,58,80
1668355740000000000,16640.5,16646.5,16634.5,16646.5,56,23
1668372720000000000,16444.5,16450.5,16438.5,16440.5,55,46
1668488400000000000,16790.5,16814.5,16709.5,16711.5,55,1879
1668484800000000000,16693.5,16703.5,16642.5,16666.5,55,426
1668481200000000000,16686.5,16728.5,16485.5,16509.5,52,2898
1668472200000000000,16362.5,16383.5,16319.5,16360.5,55,765
1668329280000000000,16679.5,16680.5,16668.5,16668.5,56,38
1668463500000000000,16218.5,16258.5,16218.5,16257.5,52,109
1668492000000000000,16773.5,16799.5,16746.5,16770.5,58,688
1668360240000000000,16523.5,16524.5,16516.5,16524.5,53,66
1668481860000000000,16549.5,16549.5,16549.5,16549.5,53,1
1668328440000000000,16732.5,16752.5,16732.5,16739.5,53,85
1668423000000000000,16731.5,16732.5,16723.5,16732.5,60,36
1668463500000000000,16175.5,16258.5,16174.5,16257.5,57,168
1668386760000000000,16381.5,16381.5,16379.5,16379.5,52,3
1668466800000000000,16241.5,16261.5,16208.5,16215.5,55,387
1668422880000000000,16716.5,16717.5,16708.5,16714.5,60,29
1668385260000000000,16342.5,16342.5,16338.5,16342.5,56,8
1668425160000000000,16660.5,16666.5,16658.5,16660.5,60,27
1668463200000000000,16197.5,16205.5,16188.5,16204.5,61,47
1668327360000000000,16815.5,16817.5,16815.5,16815.5,54,7
1668410520000000000,15932.5,15942.5,15926.5,15942.5,56,31
1668428940000000000,16698.5,16714.5,16692.5,16712.5,53,48
